Date,Open,High,Low,Close
1/2/01,400.90,400.90,400.90,400.90
1/3/01,401.68,401.68,401.68,401.68
1/4/01,400.51,400.51,400.51,400.51
1/5/01,401.92,401.92,401.92,401.92
1/8/01,400.42,400.42,400.42,400.42
1/9/01,399.73,399.73,399.73,399.73
1/10/01,395.55,395.55,395.55,395.55
1/11/01,394.50,394.50,394.50,394.50
1/12/01,395.89,395.89,395.89,395.89
1/16/01,396.72,396.72,396.72,396.72
1/17/01,397.82,397.82,397.82,397.82
1/18/01,399.70,399.70,399.70,399.70
1/19/01,399.79,399.79,399.79,399.79
1/22/01,400.42,400.42,400.42,400.42
1/23/01,402.09,402.09,402.09,402.09
1/24/01,399.79,399.79,399.79,399.79
1/25/01,398.82,398.82,398.82,398.82
1/26/01,395.49,395.49,395.49,395.49
1/29/01,394.42,394.42,394.42,394.42
1/30/01,394.92,400.48,394.92,398.83
1/31/01,397.42,398.62,395.17,398.02
2/1/01,397.82,401.70,397.82,401.11
2/2/01,400.96,401.26,398.71,399.61
2/5/01,399.61,400.66,399.61,399.76
2/6/01,398.82,398.82,395.65,397.91
2/7/01,396.80,397.86,396.20,396.80
2/8/01,398.04,398.04,392.45,392.90
2/9/01,393.56,393.56,391.30,392.66
2/12/01,399.48,399.48,395.83,396.74
2/13/01,397.20,397.20,397.20,396.13
2/14/01,397.37,397.37,396.61,396.45
2/15/01,396.85,396.85,390.89,390.12
2/16/01,392.73,398.12,392.73,397.66
2/20/01,392.79,392.79,392.79,394.49
2/21/01,394.32,396.62,394.16,396.62
2/22/01,397.88,397.88,396.34,397.88
2/23/01,399.82,399.82,399.20,401.20
2/26/01,400.49,403.09,399.72,406.30
2/27/01,408.57,408.57,408.57,409.18
2/28/01,409.89,409.89,409.89,409.89
3/1/01,410.46,410.46,410.46,410.46
3/2/01,404.85,404.85,404.85,404.85
3/5/01,406.22,406.22,406.22,406.22
3/6/01,399.82,399.82,399.82,399.66
3/7/01,401.43,401.43,401.43,405.15
3/8/01,410.26,410.26,410.26,410.26
3/9/01,419.07,419.07,419.07,419.07
3/12/01,421.48,421.48,421.48,421.48
3/13/01,411.92,411.92,411.92,411.92
3/14/01,408.81,408.81,408.81,408.81
3/15/01,405.62,405.62,405.62,405.62
3/16/01,403.33,403.33,403.33,405.05
3/19/01,406.89,406.89,406.89,406.89
3/20/01,407.80,407.80,407.80,407.80
3/21/01,412.64,412.64,412.64,412.64
3/22/01,410.34,410.34,410.34,410.34
3/23/01,409.17,409.17,409.17,409.17
3/26/01,407.82,407.82,407.82,407.82
3/27/01,409.28,409.28,409.28,409.28
3/28/01,406.35,406.35,406.35,406.35
3/29/01,408.72,409.82,406.36,407.30
3/30/01,408.01,408.80,404.54,406.59
4/2/01,406.77,407.72,403.29,404.24
4/3/01,402.87,407.76,402.87,404.92
4/4/01,406.52,409.98,406.04,406.67
4/5/01,407.77,407.77,405.57,406.20
4/6/01,406.04,407.14,403.38,406.82
4/9/01,407.60,407.60,403.69,404.16
4/10/01,401.90,401.90,399.25,400.34
4/11/01,402.72,406.31,400.84,404.28
4/12/01,404.69,407.81,404.69,406.41
4/16/01,406.97,412.12,406.66,411.34
4/17/01,407.60,410.58,407.60,408.54
4/18/01,406.69,410.29,405.91,408.73
4/19/01,407.25,409.57,406.16,410.81
4/20/01,409.15,409.46,407.14,409.15
4/23/01,408.24,408.24,406.69,408.39
4/24/01,409.65,409.65,408.10,408.25
4/25/01,408.08,409.48,405.76,406.38
4/26/01,407.90,407.90,406.51,407.90
